make,model,make_model,branch,date_of_sale,month,is_late_to_pay,is_late_to_pay_word,payment_expected,payment_actual,payment_ratio,payment_full,payment_full_word
Boxer,BM 150,Boxer BM 150,Nairobi,06/01/2021,January,0,NO,95394,95394,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,22/04/2021,April,0,NO,102784,102784,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,26/02/2021,February,0,NO,82295,82295,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,26/03/2021,March,0,NO,93586,93586,100,0,NO
TVS,HLX 150,TVS HLX 150,Mombasa,05/06/2021,June,0,NO,135065,135065,100,0,NO
Boxer,BM 150,Boxer BM 150,Migori,10/04/2021,April,0,NO,66990,66990,100,0,NO
TVS,HLX 150,TVS HLX 150,Nairobi,08/02/2021,February,1,YES,114755,36400,31.71975077,1,YES
Boxer,BM 150,Boxer BM 150,Nairobi,24/05/2021,May,0,NO,122333,122333,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,08/06/2021,June,0,NO,135942,135942,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,01/03/2021,March,0,NO,84436,84436,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,11/01/2021,January,0,NO,69305,69305,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Bungoma,03/02/2021,February,0,NO,87330,87330,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,03/05/2021,May,0,NO,141336,141336,100,0,NO
Boxer,BM X125,Boxer BM X125,Bungoma,13/05/2021,May,0,NO,117599,117599,100,0,NO
Boxer,BM 150,Boxer BM 150,Mombasa,09/01/2021,January,0,NO,85770,85770,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,10/05/2021,May,0,NO,124910,124910,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,03/05/2021,May,1,YES,127625,31798,24.91518119,1,YES
TVS,HLX 125CC,TVS HLX 125CC,Kisumu,18/05/2021,May,0,NO,31788,31788,100,0,NO
Boxer,BM X125,Boxer BM X125,Nairobi,19/04/2021,April,0,NO,107886,107886,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Bungoma,15/06/2021,June,0,NO,122135,122135,100,0,NO
Sonlink,KC 150CC,Sonlink KC 150CC,Mombasa,23/03/2021,March,0,NO,93614,93614,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Bungoma,08/04/2021,April,0,NO,105561,105561,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,14/01/2021,January,0,NO,69336,69336,100,0,NO
Boxer,BM 100,Boxer BM 100,Mombasa,17/05/2021,May,0,NO,104520,104520,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,18/05/2021,May,0,NO,91027,91027,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,12/02/2021,February,0,NO,87564,87564,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Nairobi,18/05/2021,May,0,NO,119885,119885,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,23/04/2021,April,0,NO,70233,70233,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,19/04/2021,April,0,NO,117572,117572,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Bungoma,04/01/2021,January,0,NO,91912,91912,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Mombasa,11/06/2021,June,0,NO,120462,120462,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Migori,19/04/2021,April,0,NO,116646,116646,100,0,NO
TVS,HLX 150,TVS HLX 150,Nairobi,05/01/2021,January,1,YES,102273,28977,28.33299111,1,YES
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,12/02/2021,February,0,NO,91915,91915,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,14/04/2021,April,0,NO,118382,118382,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Migori,21/04/2021,April,0,NO,106147,106147,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,01/03/2021,March,0,NO,93224,93224,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,28/06/2021,June,0,NO,129365,129365,100,0,NO
Sonlink,150-KD,Sonlink 150-KD,Migori,08/04/2021,April,0,NO,91512,91512,100,0,NO
Boxer,BM 100,Boxer BM 100,Migori,24/05/2021,May,1,YES,111548,11456,10.27001829,1,YES
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,06/03/2021,March,0,NO,95914,95914,100,0,NO
TVS,STAR 100CC KS,TVS STAR 100CC KS,Kisumu,26/04/2021,April,0,NO,99423,99423,100,0,NO
Boxer,BM 100,Boxer BM 100,Bungoma,28/04/2021,April,1,YES,106057,10144,9.564668056,1,YES
TVS,HLX 125CC,TVS HLX 125CC,Bungoma,12/01/2021,January,0,NO,85804,85804,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,03/05/2021,May,0,NO,125875,125875,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,01/03/2021,March,0,NO,99842,99842,100,0,NO
